epoch,loss
1,7.63562042222597
2,7.049748110926852
3,6.910736357648828
4,6.832390786414766
5,6.78160556632431
6,6.7455391512231655
7,6.715560597469714
8,6.692983621810921
9,6.67455906666804
10,6.659773840489907
11,6.6464960210271045
12,6.634446706161933
13,6.624541253475175
14,6.614773180064455
15,6.606174845602092
16,6.599801422303074
17,6.594192516298803
18,6.587435275131627
19,6.582233159801139
20,6.578014835488271
21,6.573297403255101
22,6.568530445180306
23,6.564071024519983
24,6.5599327842214885
25,6.558410262774128
26,6.553924221699509
27,6.550408932784684
28,6.548088955396227
